#;PSRJ;F0;DM;
;;(Hz);(cm^-3pc);
681;J1235-6354;3.894420;439.90;
682;J1236-0159;0.277965;19.08;
683;J1236-5033;3.392593;105.02;
684;J1237-6725;0.473715;176.50;
685;J1238+2152;0.893982;17.97;
686;J1239+2453;0.723354;9.25;
687;J1239+32;212.765957;16.85;
688;J1239-48;1.529286;107.60;
689;J1239-6832;0.768095;94.30;
690;J1240-4124;1.952202;44.10;
691;J1242+39;0.763359;26.00;
692;J1243+17;0.822030;5.00;
693;J1243-5735;2.122129;270.60;
694;J1243-6423;2.574101;297.09;
695;J1244-1812;0.291943;15.50;
696;J1244-5053;3.633627;109.95;
697;J1244-6359;6.790050;286.00;
698;J1244-6531;0.646488;388.00;
699;J1245-6238;0.438002;336.20;
700;J1246+2253;2.110281;17.79;
701;J1248-6344;5.041971;433.00;
702;J1248-6444;0.809786;236.40;
703;J1249-6507;2.301788;215.00;
704;J1251-7407;3.057564;89.81;
705;J1252+53;4.543315;20.70;
706;J1252-6314;1.214566;278.40;
707;J1253-5820;3.913951;100.58;
708;J1254-6150;5.419989;95.00;
709;J1255-46;19.230769;42.90;
710;J1255-6131;1.519818;206.50;
711;J1255-62;5.467125;713.00;
712;J1257-1027;1.619938;29.63;
713;J1259-6741;1.507545;94.70;
714;J1300+1240;160.809659;10.17;
715;J1300-6602;0.874649;460.00;
716;J1301+0833;543.478261;13.20;
717;J1301-6305;5.419229;374.00;
718;J1301-6310;1.506411;86.10;
719;J1302-3258;265.251989;26.20;
720;J1302-63;3.070081;875.00;
721;J1302-6313;1.033222;500.00;
722;J1302-6350;20.936924;146.73;
723;J1303+38;2.523341;19.00;
724;J1303-6305;0.433531;343.00;
725;J1304+12;239.234450;*;
726;J1305-6203;2.337685;468.78;
727;J1305-6256;2.091040;967.00;
728;J1305-6455;1.749317;505.00;
729;J1305-66;5.069033;316.10;
730;J1306-4035;453.611427;35.00;
731;J1306-6242;1.018431;480.00;
732;J1306-6617;2.114041;436.90;
733;J1307-6318;0.201514;374.00;
734;J1307-67;0.273883;44.00;
735;J1308+2127;0.096969;*;
736;J1308-23;353.356890;22.36;
737;J1308-4650;0.944436;66.00;
